Date,Open,High,Low,Close,Volume
2016/5/19 下午 4:00:00,204.06,204.54,202.78,204.2,115430507
2016/5/20 下午 4:00:00,204.92,206.1,204.86,205.49,104990408
2016/5/23 下午 4:00:00,205.51,205.84,204.99,205.21,58682576
2016/5/24 下午 4:00:00,206.17,208.24,206.14,207.87,93537808
2016/5/25 下午 4:00:00,208.67,209.77,207.87,209.28,79221525
2016/5/26 下午 4:00:00,209.44,209.71,208.97,209.34,55280699
2016/5/27 下午 4:00:00,209.53,210.25,209.47,210.24,64211214
2016/5/31 下午 4:00:00,210.56,210.69,209.18,209.84,109879380
2016/6/1 下午 4:00:00,209.12,210.48,208.89,210.27,69936215
2016/6/2 下午 4:00:00,209.8,210.93,209.24,210.91,63044749
2016/6/3 下午 4:00:00,210.25,210.69,208.86,210.28,101757126
2016/6/6 下午 4:00:00,210.7,211.77,210.51,211.35,64887045
2016/6/7 下午 4:00:00,211.53,212.34,211.5,211.68,60974761
2016/6/8 下午 4:00:00,211.84,212.52,211.69,212.37,66170920
2016/6/9 下午 4:00:00,211.51,212.22,211.19,212.08,73786869
2016/6/10 下午 4:00:00,210.46,210.86,209.43,210.07,113829158
2016/6/13 下午 4:00:00,209.36,210.37,208.35,208.45,117751153
2016/6/14 下午 4:00:00,208,208.74,206.92,208.04,125059286
2016/6/15 下午 4:00:00,208.54,209.36,207.53,207.75,109124496
2016/6/16 下午 4:00:00,206.73,208.57,205.59,208.37,149533065
2016/6/17 下午 4:00:00,207.17,207.2,205.75,206.52,117055748
2016/6/20 下午 4:00:00,208.82,209.61,207.75,207.85,82789603
2016/6/21 下午 4:00:00,208.3,208.92,207.78,208.44,72461663
2016/6/22 下午 4:00:00,208.65,209.5,207.93,208.1,95560471
2016/6/23 下午 4:00:00,209.81,210.87,209.27,210.81,102731356
2016/6/24 下午 4:00:00,203.63,210.85,202.72,203.13,333444397
2016/6/27 下午 4:00:00,201.59,201.6,198.65,199.6,248988660
2016/6/28 下午 4:00:00,201.48,203.23,201.12,203.2,159382399
2016/6/29 下午 4:00:00,204.84,206.93,204.72,206.66,137328614
2016/6/30 下午 4:00:00,207.21,209.54,206.56,209.48,165021948
2016/7/1 下午 4:00:00,209.36,210.49,209.29,209.92,106055333
2016/7/5 下午 4:00:00,208.95,209.08,207.71,208.41,109803713
2016/7/6 下午 4:00:00,207.83,209.8,207.06,209.66,96021491
2016/7/7 下午 4:00:00,209.87,210.65,208.63,209.53,85593827
2016/7/8 下午 4:00:00,211.05,212.94,210.78,212.65,133970972
2016/7/11 下午 4:00:00,213.19,214.07,212.95,213.4,73633937
